国民の祝日・休日名称,説明
元日,元日は1月1日で、新しい年の始まりを祝う日です。家族や友人と過ごし、神社やお寺に初詣をする習慣があります。
成人の日,成人の日は1月の第2月曜日で、20歳を迎えた若者を祝う日です。日本全国で成人式が行われ、新成人としての自覚を促す機会となります。
春分の日,春分の日は昼と夜の長さがほぼ等しくなる日で、3月20日頃にあたります。祖先を敬い、自然をたたえる日として過ごされます。
天皇誕生日,天皇誕生日は現在の天皇の誕生日を祝う日です。全国で様々な祝賀行事が行われます。
憲法記念日,憲法記念日は5月3日で、日本国憲法の施行を記念する日です。憲法の意義を考える機会として、各地で関連イベントが開かれます。
こどもの日,こどもの日は5月5日で、子供たちの健やかな成長を願う日です。鯉のぼりを掲げたり、柏餅を食べるなどの伝統があります。
秋分の日,秋分の日は昼と夜の長さが等しくなる日で、9月23日頃にあたります。祖先を敬い、秋の豊作に感謝する日です。
文化の日,文化の日は11月3日で、自由と平和を愛し、文化の発展を祝う日です。芸術や文化活動に関連する催しが全国で行われます。
勤労感謝の日,勤労感謝の日は11月23日で、働くことに感謝し、生産を祝い、国民が互いに感謝の気持ちを表す日です。
結婚の儀,結婚の儀は特定の祝日ではなく、皇室の結婚を祝う重要な儀式です。歴史的な皇室の結婚の際に行われます。
敬老の日,敬老の日は9月の第3月曜日で、高齢者を敬い、長寿を祝う日です。お年寄りに感謝の気持ちを伝える機会となります。
体育の日,体育の日は10月の第2月曜日で、スポーツに親しみ、健康な体を育むことを目的としています。運動会やスポーツイベントが盛んに行われます。
建国記念の日,建国記念の日は2月11日で、日本の建国を祝い、国の歴史や成り立ちを振り返る日です。
休日,休日は祝日が日曜日と重なった場合、その代わりとして設けられる休みの日です。これを「振替休日」と呼びます。
大喪の礼,大喪の礼は天皇崩御の際に行われる国葬の儀式で、特別な休日として設定されることがあります。
みどりの日,みどりの日は5月4日で、自然に親しみ、環境を大切にする日です。公園でのイベントや自然保護活動が行われます。
即位礼正殿の儀,即位礼正殿の儀は新天皇の即位を祝う儀式で、特別な休日として国民が祝います。
海の日,海の日は7月の第3月曜日で、海に感謝し、海の恩恵を祝う日です。海に関連するイベントが全国で開催されます。
昭和の日,昭和の日は4月29日で、昭和天皇の誕生日を記念し、昭和時代を振り返る日です。歴史を学び、平和を願う機会となります。
山の日,山の日は8月11日で、山に親しみ、自然の恵みに感謝する日です。登山やハイキングなど、自然と触れ合う活動が行われます。
休日（祝日扱い）,休日（祝日扱い）は、オリンピックや国家的行事など、特別な理由で一時的に設けられる国民の祝日です。
体育の日（スポーツの日）,体育の日（スポーツの日）は、スポーツを通じて健康を増進し、豊かな生活を送ることを目的とする日です。2020年からは「スポーツの日」として祝われています。
スポーツの日,スポーツの日は、10月の第2月曜日に健康とスポーツを祝うための祝日です。運動を奨励し、国民の健康増進を図ります。
